,subject,trialN,subj_idx,response,rt,task,relativeValue,totalValue,memSlideScore,memChoiceScore,Left_sum,Right_sum,absRelativeValue,accuracy,arr_L,arr_R,N_L,N_R,L-R,|L-R|
70,hwrblsy3h,79,27,1,0.67740000000596,experiment_FR,11,59,4.0,0.7,35,24,11,1,"[6, 8, 1, 5, 8, 7]","[6, 2, 5, 7, 2, 2]",5,4,1,1
71,hwrblsy3h,81,27,0,1.13,experiment_FR,0,56,4.0,0.7,28,28,0,0,"[8, 6, 5, 5, 3, 1]","[8, 6, 1, 5, 5, 3]",5,5,0,0
72,hwrblsy3h,82,27,1,0.700299999982119,experiment_FR,7,61,4.0,0.7,34,27,7,1,"[6, 7, 5, 4, 8, 4]","[5, 4, 5, 3, 7, 3]",5,4,1,1
73,hwrblsy3h,83,27,0,0.726399999976158,experiment_FR,-9,75,4.0,0.7,33,42,9,1,"[4, 6, 8, 7, 1, 7]","[5, 7, 8, 7, 7, 8]",5,3,2,2
74,hwrblsy3h,84,27,1,0.8995,experiment_FR,5,59,4.0,0.7,32,27,5,1,"[1, 8, 3, 5, 8, 7]","[2, 1, 8, 8, 5, 3]",5,5,0,0
75,hwrblsy3h,85,27,1,1.01929999998212,experiment_FR,6,56,4.0,0.7,31,25,6,1,"[6, 7, 3, 8, 5, 2]","[1, 2, 6, 4, 4, 8]",6,5,1,1
76,hwrblsy3h,86,27,0,1.23859999999404,experiment_FR,-14,40,4.0,0.7,13,27,14,1,"[4, 3, 1, 1, 1, 3]","[5, 5, 3, 4, 6, 4]",3,4,-1,1
77,hwrblsy3h,87,27,0,0.753299999982119,experiment_FR,-7,43,4.0,0.7,18,25,7,1,"[5, 2, 4, 2, 3, 2]","[6, 8, 4, 3, 1, 3]",4,5,-1,1
78,hwrblsy3h,88,27,1,1.541,experiment_FR,5,65,4.0,0.7,35,30,5,1,"[3, 8, 8, 7, 5, 4]","[1, 6, 8, 2, 6, 7]",5,5,0,0
79,hwrblsy3h,89,27,1,0.87459999999404,experiment_FR,3,51,4.0,0.7,27,24,3,1,"[5, 5, 5, 3, 7, 2]","[3, 2, 8, 6, 2, 3]",4,4,0,0
80,hwrblsy3h,90,27,0,1.0555,experiment_FR,1,53,4.0,0.7,27,26,1,0,"[4, 5, 5, 6, 3, 4]","[4, 7, 1, 5, 3, 6]",4,6,-2,2
81,hwrblsy3h,91,27,1,0.497899999976158,experiment_FR,6,52,4.0,0.7,29,23,6,1,"[6, 6, 2, 1, 6, 8]","[4, 1, 4, 4, 4, 6]",4,3,1,1
82,hwrblsy3h,92,27,1,0.698800000011921,experiment_FR,3,55,4.0,0.7,29,26,3,1,"[3, 2, 6, 6, 5, 7]","[3, 5, 1, 5, 4, 8]",5,5,0,0
83,hwrblsy3h,93,27,0,0.781700000017881,experiment_FR,0,48,4.0,0.7,24,24,0,0,"[3, 3, 6, 3, 1, 8]","[4, 8, 2, 5, 4, 1]",4,5,-1,1
84,hwrblsy3h,94,27,0,0.9325,experiment_FR,-5,39,4.0,0.7,17,22,5,1,"[1, 3, 6, 3, 2, 2]","[7, 4, 4, 3, 2, 2]",4,4,0,0
85,hwrblsy3h,95,27,0,0.970200000017881,experiment_FR,-9,53,4.0,0.7,22,31,9,1,"[1, 4, 5, 2, 2, 8]","[7, 5, 4, 3, 4, 8]",5,5,0,0
86,hwrblsy3h,96,27,1,0.802200000017881,experiment_FR,0,50,4.0,0.7,25,25,0,0,"[4, 6, 1, 8, 4, 2]","[5, 6, 4, 2, 2, 6]",5,4,1,1
87,hwrblsy3h,97,27,0,0.7695,experiment_FR,-6,56,4.0,0.7,25,31,6,1,"[6, 8, 3, 4, 3, 1]","[8, 8, 8, 2, 3, 2]",5,3,2,2
88,hwrblsy3h,98,27,0,0.635699999988079,experiment_FR,-4,58,4.0,0.7,27,31,4,1,"[8, 5, 1, 1, 4, 8]","[2, 7, 8, 1, 8, 5]",4,5,-1,1
89,hwrblsy3h,99,27,1,0.660299999982119,experiment_FR,3,49,4.0,0.7,26,23,3,1,"[2, 1, 3, 7, 6, 7]","[8, 3, 1, 4, 3, 4]",5,4,1,1
90,hwrblsy3h,100,27,1,1.09229999998212,experiment_FR,-3,47,4.0,0.7,22,25,3,0,"[8, 1, 8, 2, 2, 1]","[4, 8, 3, 4, 3, 3]",3,3,0,0
91,hwrblsy3h,101,27,1,0.478800000011921,experiment_FR,-1,71,4.0,0.7,35,36,1,0,"[8, 5, 6, 8, 2, 6]","[6, 4, 7, 8, 6, 5]",4,5,-1,1
92,hwrblsy3h,102,27,0,0.72459999999404,experiment_FR,-7,61,4.0,0.7,27,34,7,1,"[2, 3, 8, 7, 6, 1]","[6, 8, 7, 6, 6, 1]",6,4,2,2
93,hwrblsy3h,103,27,0,0.77,experiment_FR,-16,62,4.0,0.7,23,39,16,1,"[4, 1, 8, 3, 5, 2]","[6, 8, 3, 8, 8, 6]",6,3,3,3
94,hwrblsy3h,104,27,1,0.96940000000596,experiment_FR,4,62,4.0,0.7,33,29,4,1,"[2, 5, 7, 5, 7, 7]","[4, 2, 7, 7, 4, 5]",3,4,-1,1
95,hwrblsy3h,105,27,1,1.03610000002384,experiment_FR,4,42,4.0,0.7,23,19,4,1,"[2, 1, 4, 2, 8, 6]","[3, 3, 3, 1, 7, 2]",5,4,1,1
96,hwrblsy3h,106,27,1,0.78609999999404,experiment_FR,8,56,4.0,0.7,32,24,8,1,"[5, 4, 8, 8, 3, 4]","[6, 2, 7, 1, 2, 6]",4,4,0,0
97,hwrblsy3h,107,27,0,0.803299999982119,experiment_FR,-5,65,4.0,0.7,30,35,5,1,"[1, 3, 5, 8, 7, 6]","[6, 3, 8, 3, 7, 8]",6,4,2,2
98,hwrblsy3h,108,27,0,0.85890000000596,experiment_FR,-4,50,4.0,0.7,23,27,4,1,"[4, 4, 1, 7, 1, 6]","[5, 4, 6, 2, 2, 8]",4,5,-1,1
99,hwrblsy3h,109,27,0,0.75909999999404,experiment_FR,-15,39,4.0,0.7,12,27,15,1,"[1, 1, 2, 3, 3, 2]","[6, 5, 5, 3, 7, 1]",3,5,-2,2
100,hwrblsy3h,110,27,0,0.75309999999404,experiment_FR,-5,61,4.0,0.7,28,33,5,1,"[3, 5, 7, 2, 3, 8]","[5, 4, 7, 8, 7, 2]",5,5,0,0
101,hwrblsy3h,111,27,0,0.7755,experiment_FR,-7,51,4.0,0.7,22,29,7,1,"[7, 3, 1, 4, 5, 2]","[1, 5, 7, 6, 5, 5]",6,4,2,2
102,hwrblsy3h,112,27,1,0.724200000017881,experiment_FR,10,56,4.0,0.7,33,23,10,1,"[1, 8, 6, 7, 6, 5]","[2, 1, 4, 8, 2, 6]",5,5,0,0
103,hwrblsy3h,113,27,0,0.68990000000596,experiment_FR,-8,62,4.0,0.7,27,35,8,1,"[4, 4, 7, 2, 6, 4]","[8, 6, 3, 7, 8, 3]",4,4,0,0
104,hwrblsy3h,114,27,0,0.7485,experiment_FR,-17,61,4.0,0.7,22,39,17,1,"[2, 2, 3, 2, 7, 6]","[8, 6, 7, 3, 7, 8]",4,4,0,0
105,hwrblsy3h,115,27,1,1.23729999998212,experiment_FR,1,57,4.0,0.7,29,28,1,1,"[5, 3, 7, 4, 7, 3]","[6, 6, 6, 2, 6, 2]",4,2,2,2
106,hwrblsy3h,116,27,1,0.553699999988079,experiment_FR,3,63,4.0,0.7,33,30,3,1,"[5, 6, 7, 4, 3, 8]","[3, 6, 8, 1, 5, 7]",6,6,0,0
107,hwrblsy3h,117,27,1,0.626699999988079,experiment_FR,13,49,4.0,0.7,31,18,13,1,"[3, 5, 8, 6, 5, 4]","[4, 1, 1, 8, 1, 3]",5,4,1,1
108,hwrblsy3h,118,27,1,0.662,experiment_FR,2,54,4.0,0.7,28,26,2,1,"[5, 4, 6, 1, 8, 4]","[3, 7, 6, 2, 3, 5]",5,5,0,0
109,hwrblsy3h,119,27,0,0.699099999994039,experiment_FR,-13,71,4.0,0.7,29,42,13,1,"[5, 3, 5, 4, 4, 8]","[6, 6, 8, 8, 6, 8]",4,2,2,2
110,hwrblsy3h,120,27,1,0.908,experiment_FR,8,58,4.0,0.7,33,25,8,1,"[6, 6, 5, 6, 2, 8]","[6, 7, 2, 1, 8, 1]",4,5,-1,1
111,hwrblsy3h,121,27,0,1.07479999998212,experiment_FR,-4,56,4.0,0.7,26,30,4,1,"[1, 1, 6, 7, 8, 3]","[5, 1, 3, 7, 6, 8]",5,6,-1,1
112,hwrblsy3h,122,27,1,1.4735,experiment_FR,5,55,4.0,0.7,30,25,5,1,"[7, 2, 6, 6, 4, 5]","[5, 4, 2, 3, 7, 4]",5,5,0,0
113,hwrblsy3h,123,27,1,0.983299999982119,experiment_FR,2,54,4.0,0.7,28,26,2,1,"[3, 6, 2, 7, 5, 5]","[3, 6, 7, 2, 7, 1]",5,5,0,0
114,hwrblsy3h,124,27,1,0.78,experiment_FR,11,57,4.0,0.7,34,23,11,1,"[6, 6, 7, 8, 2, 5]","[3, 5, 6, 1, 2, 6]",5,5,0,0
115,hwrblsy3h,125,27,1,0.602200000017881,experiment_FR,19,69,4.0,0.7,44,25,19,1,"[8, 8, 6, 8, 8, 6]","[2, 8, 5, 4, 3, 3]",2,5,-3,3
116,hwrblsy3h,126,27,1,0.712,experiment_FR,8,46,4.0,0.7,27,19,8,1,"[5, 4, 2, 8, 6, 2]","[5, 1, 7, 2, 2, 2]",5,4,1,1
117,hwrblsy3h,127,27,1,0.706799999982119,experiment_FR,8,46,4.0,0.7,27,19,8,1,"[6, 6, 3, 1, 3, 8]","[6, 3, 1, 1, 4, 4]",4,4,0,0
118,hwrblsy3h,128,27,1,0.431299999982119,experiment_FR,5,55,4.0,0.7,30,25,5,1,"[3, 5, 8, 4, 8, 2]","[8, 3, 2, 5, 4, 3]",5,5,0,0
119,hwrblsy3h,129,27,1,0.78809999999404,experiment_FR,-1,43,4.0,0.7,21,22,1,0,"[7, 1, 4, 1, 7, 1]","[1, 7, 5, 3, 5, 1]",3,4,-1,1
120,hwrblsy3h,130,27,0,0.65809999999404,experiment_FR,-7,57,4.0,0.7,25,32,7,1,"[1, 6, 3, 6, 3, 6]","[2, 8, 5, 1, 8, 8]",3,4,-1,1
121,hwrblsy3h,131,27,0,0.66659999999404,experiment_FR,-10,56,4.0,0.7,23,33,10,1,"[3, 8, 1, 4, 5, 2]","[3, 8, 3, 7, 6, 6]",6,4,2,2
122,hwrblsy3h,132,27,0,0.778300000011921,experiment_FR,-8,68,4.0,0.7,30,38,8,1,"[3, 6, 7, 2, 8, 4]","[7, 4, 8, 8, 5, 6]",6,5,1,1
123,hwrblsy3h,133,27,1,0.95059999999404,experiment_FR,16,50,4.0,0.7,33,17,16,1,"[4, 5, 4, 7, 5, 8]","[1, 3, 3, 2, 6, 2]",4,4,0,0
124,hwrblsy3h,134,27,1,1.06090000000596,experiment_FR,-6,68,4.0,0.7,31,37,6,0,"[1, 6, 6, 8, 2, 8]","[6, 4, 6, 8, 6, 7]",4,4,0,0
125,hwrblsy3h,135,27,1,0.988,experiment_FR,6,60,4.0,0.7,33,27,6,1,"[6, 3, 5, 5, 7, 7]","[8, 3, 8, 4, 3, 1]",4,4,0,0
126,hwrblsy3h,136,27,1,0.83440000000596,experiment_FR,7,69,4.0,0.7,38,31,7,1,"[6, 3, 7, 8, 7, 7]","[7, 4, 1, 5, 8, 6]",4,6,-2,2
127,hwrblsy3h,137,27,0,0.8705,experiment_FR,-1,53,4.0,0.7,26,27,1,1,"[5, 3, 4, 2, 4, 8]","[3, 6, 5, 7, 2, 4]",5,6,-1,1
128,hwrblsy3h,138,27,0,0.76390000000596,experiment_FR,-1,67,4.0,0.7,33,34,1,1,"[5, 5, 7, 3, 8, 5]","[7, 7, 5, 2, 7, 6]",4,4,0,0
129,hwrblsy3h,139,27,0,0.78340000000596,experiment_FR,-6,54,4.0,0.7,24,30,6,1,"[6, 4, 2, 1, 5, 6]","[2, 4, 5, 4, 8, 7]",5,5,0,0
130,hwrblsy3h,140,27,1,0.732700000017881,experiment_FR,4,60,4.0,0.7,32,28,4,1,"[8, 8, 4, 2, 8, 2]","[4, 3, 4, 8, 2, 7]",3,5,-2,2
131,hwrblsy3h,141,27,1,1.1795,experiment_FR,6,56,4.0,0.7,31,25,6,1,"[4, 7, 6, 4, 3, 7]","[3, 3, 5, 4, 7, 3]",4,4,0,0
132,hwrblsy3h,142,27,0,1.15810000002384,experiment_FR,-7,43,4.0,0.7,18,25,7,1,"[1, 1, 8, 1, 1, 6]","[1, 8, 4, 3, 4, 5]",3,5,-2,2
133,hwrblsy3h,143,27,1,1.239,experiment_FR,-2,56,4.0,0.7,27,29,2,0,"[7, 4, 8, 1, 2, 5]","[5, 7, 6, 4, 6, 1]",6,5,1,1
134,hwrblsy3h,144,27,1,0.83159999999404,experiment_FR,12,44,4.0,0.7,28,16,12,1,"[6, 5, 7, 4, 3, 3]","[2, 2, 1, 4, 2, 5]",5,4,1,1
135,hwrblsy3h,145,27,1,0.64109999999404,experiment_FR,5,53,4.0,0.7,29,24,5,1,"[2, 1, 7, 5, 6, 8]","[4, 2, 5, 3, 8, 2]",6,5,1,1
136,hwrblsy3h,146,27,1,0.56340000000596,experiment_FR,-10,56,4.0,0.7,23,33,10,0,"[5, 2, 4, 8, 1, 3]","[5, 4, 5, 7, 4, 8]",6,4,2,2
137,hwrblsy3h,150,27,1,1.06659999999404,experiment_FR,13,55,4.0,0.7,34,21,13,1,"[5, 8, 7, 6, 6, 2]","[5, 1, 5, 4, 3, 3]",5,4,1,1
138,hwrblsy3h,1,27,1,1.03659999999404,experiment_VB,4,64,4.0,0.8,34,30,4,1,"[3, 4, 5, 7, 8, 7]","[7, 5, 5, 8, 1, 4]",5,5,0,0
